actor_id,actor_name,drama_name,character_name,role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,The Gifted Graduation,“Pang” Pawaret Sermrittirong,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,Turn Left Turn Right,Tai,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,Blacklist,Traffic,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,The Gifted,“Pang” Pawaret Sermrittirong,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,YOUniverse,Knight,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,My Dear Loser: Edge of 17,Oh,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,The Legend of King Naresuan the Series,Prince Minchit Sra [Teenager],Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,Senior Secret Love: My Lil Boy 2,S,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,Senior Secret Love: My Lil Boy,S,Main Role
eca70958-ca15-497c-93fb-690cf0d8e21e,Nanon Korapat Kirdpan,Ugly Duckling Series: Don't,Plawan,Support Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,UMG,Fahsai,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Midnight Museum,June,Support Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,My Dear Donovan,"Pemanee / ""Pam""",Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Mongkut Karma,Ning,Support Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,"Drag, I Love You","Paranee / ""Parn"" [Prab’s younger sister]",Support Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,The Player,"""Giwi"" / Gewalin",Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Romantic Blue,Pond,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Wake Up Ladies Season 2: Very Complicated,Tata,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Friend Zone 2: Dangerous Area,Boom,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Who Are You,"""Meen"" Meennara Nunnitisopa | ""Mind"" Manita Euarak",Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,A Gift to the People You Hate,"""Bell"" Punnapa Siripattana",Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Love Beyond Frontier,Pat,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Friend Zone,Boom,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Wake Up Ladies,Tata,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,My Dear Loser: Monster Romance,On,Support Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Love Songs Love Series: Oh,Fon,Main Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,Senior Secret Love: Puppy Honey 2,Friend,Support Role
173f3446-7b9c-4614-8747-35291d9d8ce3,Namtan Tipnaree Weerawatnodom,U-Prince: The Lovely Geologist,Bell,Support Role
c0fc43b0-c537-41a2-8ae1-22f5c78026e7,Milk Pansa Vosbein,UMG,Erng,Main Role
c0fc43b0-c537-41a2-8ae1-22f5c78026e7,Milk Pansa Vosbein,Oops! Mr. Superstar Hit on Me,Now / Manow,Support Role
c0fc43b0-c537-41a2-8ae1-22f5c78026e7,Milk Pansa Vosbein,Bad Buddy,Ink,Support Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,UMG,O,Support Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,The Warp Effect,See-ew,Support Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,The Revenge,Pat Akharaphaisansakul,Support Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,The Comments,"""Pok"" Pokpong Komchaiyapruek",Main Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,The Gifted Graduation,“Ohm” Wichai Sai-ngoen,Main Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,One Night Steal,GD,Support Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,He's Coming to Me,"""Golf"" Khiewkhem",Support Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,The Gifted,“Ohm” Wichai Sai-ngoen,Main Role
fa73b6ac-1c77-42d2-907a-44405181510c,Sing Harit Cheewagaroon,My Dear Loser: Monster Romance,Jued,Support Role
e0cbfd21-33e0-4cfa-ba2e-25b6f9bb4731,Drake Sattabut Laedeke,UMG,Jack,Support Role
e0cbfd21-33e0-4cfa-ba2e-25b6f9bb4731,Drake Sattabut Laedeke,Bad Buddy,Korn [Pat's friend],Support Role
e0cbfd21-33e0-4cfa-ba2e-25b6f9bb4731,Drake Sattabut Laedeke,Blacklist,Title,Main Role
e0cbfd21-33e0-4cfa-ba2e-25b6f9bb4731,Drake Sattabut Laedeke,Our Skyy,Mork (Ep.3),Main Role
